media_type,film_id,title,original_language,genres,popularity,vote_average,vote_count,release_year
movie,1304313,Lee Cronin's The Mummy,en,"Horror, Mystery",52.9811,7.896,2552,2026
movie,1621552,Facing El Chapo,es,"Crime, Action, Thriller",234.2102,6.609,32,2026
movie,49018,Insidious,en,"Horror, Thriller",55.1464,6.951,7508,2011
movie,1368166,The Housemaid,en,"Mystery, Thriller",45.3568,7.272,2919,2025
movie,671,Harry Potter and the Philosopher's Stone,en,"Adventure, Fantasy",46.6557,7.902,30070,2001
movie,1234821,Jurassic World Rebirth,en,"Science Fiction, Adventure, Action",48.9457,6.259,3681,2025
movie,652,Troy,en,"War, Action, History",47.1316,7.188,11422,2004
movie,1413976,Citizen Vigilante,en,"Thriller, Action, Crime",47.6375,6.409,348,2026
movie,1418582,Here the Whole Time,pt,"Comedy, Romance",47.0331,6.935,31,2026
movie,840464,Greenland 2: Migration,en,"Adventure, Thriller, Science Fiction",115.2826,6.399,1471,2026
movie,803796,KPop Demon Hunters,en,"Fantasy, Music, Comedy, Animation",40.8872,8.004,3132,2025
movie,1393326,Ghost in the Cell,id,"Horror, Comedy, Thriller",43.2647,7.4,27,2026
movie,1724,The Incredible Hulk,en,"Science Fiction, Action, Adventure",42.4064,6.257,13041,2008
movie,453395,Doctor Strange in the Multiverse of Madness,en,"Fantasy, Action, Adventure",41.663,7.225,10704,2022
movie,680,Pulp Fiction,en,"Thriller, Crime, Comedy",42.5213,8.5,30709,1994
movie,862,Toy Story,en,"Family, Comedy, Animation, Adventure",47.2338,7.987,20393,1995
movie,120,The Lord of the Rings: The Fellowship of the Ring,en,"Adventure, Fantasy, Action",43.346,8.443,28175,2001
movie,361743,Top Gun: Maverick,en,"Action, Drama",34.9693,8.2,11405,2022
movie,986056,Thunderbolts*,en,"Action, Science Fiction, Adventure",46.2587,7.3,3930,2025
movie,1404304,The Isolate Thief,en,"Western, Action, Drama",41.9634,7.324,17,2026
movie,1669051,Kesong Puti,tl,Drama,41.9971,3.8,4,2026
movie,14836,Coraline,en,"Animation, Family, Fantasy",44.3305,7.932,9336,2009
movie,1656061,Immortal Combat,en,"Action, Science Fiction, Adventure",43.2224,4.6,20,2026
movie,350,The Devil Wears Prada,en,"Drama, Comedy",40.6038,7.439,14130,2006
movie,1625901,The Dating App Killer: The Monica White Story,en,"Thriller, TV Movie",34.7663,6.833,6,2026
movie,1122573,In the Grey,en,"Action, Thriller",41.0171,7.6,775,2026
movie,354912,Coco,en,"Family, Animation, Music, Adventure",44.1277,8.197,21296,2017
movie,496243,Parasite,ko,"Comedy, Thriller, Drama",41.002,8.5,21160,2019
movie,550,Fight Club,en,"Drama, Thriller",38.7406,8.4,32695,1999
movie,98,Gladiator,en,"Action, Drama, Adventure",39.4523,8.2,21338,2000
movie,1723013,Hibla 2,tl,Drama,38.5327,3,1,2026
movie,693134,Dune: Part Two,en,"Science Fiction, Adventure",41.1544,8.133,8427,2024
movie,1235877,Jana Nayagan,ta,"Action, Drama",38.8061,5.563,16,2026
movie,393392,Modori River,ja,"Crime, Drama, Romance",36.6576,5.7,3,1983
movie,1497463,All That We Never Were,es,"Drama, Romance",40.5516,8.065,85,2026
movie,1265609,War Machine,en,"Action, Science Fiction, Thriller",42.0475,7.45,2348,2026
movie,105,Back to the Future,en,"Adventure, Comedy, Science Fiction",37.9988,8.329,22241,1985
movie,1616131,A Child of My Own,es,Documentary,42.571,8.153,36,2026
movie,53653,Prison on Fire,cn,"Crime, Drama",41.8051,7.027,110,1987
movie,76338,Thor: The Dark World,en,"Action, Adventure, Fantasy",35.5494,6.51,18629,2013
movie,447365,Guardians of the Galaxy Vol. 3,en,"Science Fiction, Adventure, Action",38.7486,7.932,8695,2023
movie,12444,Harry Potter and the Deathly Hallows: Part 1,en,"Adventure, Fantasy",37.4279,7.732,20698,2010
movie,13,Forrest Gump,en,"Comedy, Drama, Romance",38.1499,8.463,30283,1994
movie,438631,Dune,en,"Science Fiction, Adventure",37.0462,7.783,15397,2021
movie,912649,Venom: The Last Dance,en,"Science Fiction, Action, Adventure",38.2075,6.674,4446,2024
movie,436969,The Suicide Squad,en,"Action, Comedy, Adventure",34.4834,7.451,9814,2021
movie,597,Titanic,en,"Drama, Romance",39.7308,7.9,27598,1997
movie,976912,Graphic Desires,en,"Thriller, Crime",40.6209,6.911,146,2023
movie,1598766,Crayon Shin-chan the Movie: Very Bizarre! My Yokai Vacation,ja,"Adventure, Animation, Comedy",36.3207,0,0,2026
movie,1168190,The Wrecking Crew,en,"Action, Comedy, Crime, Mystery",39.8973,7.08,1226,2026
movie,284053,Thor: Ragnarok,en,"Action, Science Fiction, Comedy, Adventure",38.1625,7.581,22375,2017
movie,424,Schindler's List,en,"Drama, History, War",34.4713,8.57,17787,1993
movie,497,The Green Mile,en,"Fantasy, Drama, Crime",31.1511,8.505,19669,1999
movie,91586,Insidious: Chapter 2,en,"Horror, Thriller",40.2453,6.692,4697,2013
movie,614479,Insidious: The Red Door,en,"Horror, Thriller",41.7124,6.507,2061,2023
movie,106646,The Wolf of Wall Street,en,"Crime, Drama, Comedy",36.8699,8.027,26370,2013
movie,390062,Jungle,en,"Adventure, Drama, Thriller",39.9166,6.697,2218,2017
movie,1318621,Descendants: Wicked Wonderland,en,"Fantasy, TV Movie, Family, Adventure",36.4843,7.588,160,2026
movie,1061474,Superman,en,"Science Fiction, Adventure, Action",36.8227,7.327,5321,2025
movie,1325734,The Drama,en,"Romance, Comedy, Drama",35.7861,6.9,1622,2026
movie,672,Harry Potter and the Chamber of Secrets,en,"Adventure, Fantasy",35.6313,7.706,23948,2002
movie,1719326,The Cheating Wife,tl,Drama,35.3139,2.5,2,2026
movie,76600,Avatar: The Way of Water,en,"Action, Adventure, Science Fiction",38.6091,7.587,14538,2022
movie,674,Harry Potter and the Goblet of Fire,en,"Adventure, Fantasy",35.624,7.801,22528,2005
movie,807,Se7en,en,"Crime, Mystery, Thriller",35.5526,8.38,23620,1995
movie,240,The Godfather Part II,en,"Drama, Crime",34.2694,8.573,14223,1974
movie,1297842,GOAT,en,"Animation, Comedy, Family",37.2349,8.087,1016,2026
movie,129,Spirited Away,ja,"Animation, Family, Fantasy",35.2375,8.534,18757,2001
movie,49026,The Dark Knight Rises,en,"Action, Crime, Drama, Thriller",36.9245,7.797,24790,2012
movie,138843,The Conjuring,en,"Horror, Thriller",35.1248,7.541,12982,2013
movie,12445,Harry Potter and the Deathly Hallows: Part 2,en,"Adventure, Fantasy",36.7501,8.08,22329,2011
movie,616037,Thor: Love and Thunder,en,"Fantasy, Action, Comedy",35.7445,6.358,8844,2022
movie,911430,F1,en,"Action, Drama",37.483,7.822,4522,2025
movie,1676318,Back to the 90s,de,"Comedy, Music",39.5128,5.7,6,2026
movie,673,Harry Potter and the Prisoner of Azkaban,en,"Adventure, Fantasy",33.346,8.009,23524,2004
movie,1318447,Apex,en,"Action, Thriller",34.4023,6.893,1836,2026
movie,246655,X-Men: Apocalypse,en,"Science Fiction, Fantasy, Action",36.3356,6.527,14020,2016
movie,16869,Inglourious Basterds,en,"Drama, Thriller, War",33.0093,8.217,24619,2009
movie,335984,Blade Runner 2049,en,"Science Fiction, Drama",33.4023,7.6,15541,2017
movie,1430698,The Bay,en,"Thriller, Horror",34.525,5.7,25,2026
movie,280092,Insidious: Chapter 3,en,"Horror, Thriller",39.8084,6.292,3712,2015
movie,121,The Lord of the Rings: The Two Towers,en,"Adventure, Fantasy, Action",32.7884,8.427,24414,2002
movie,10138,Iron Man 2,en,"Adventure, Action, Science Fiction",36.3686,6.855,22785,2010
movie,19995,Avatar,en,"Science Fiction, Action, Adventure",35.631,7.609,34508,2009
movie,475557,Joker,en,"Crime, Thriller, Drama",31.9685,8.118,28164,2019
movie,585,"Monsters, Inc.",en,"Animation, Comedy, Family, Fantasy",36.6301,7.856,20133,2001
movie,1272837,28 Years Later: The Bone Temple,en,"Horror, Thriller, Science Fiction",30.3498,7.094,1643,2026
movie,950387,A Minecraft Movie,en,"Family, Fantasy, Comedy, Adventure",33.8555,6.227,3238,2025
movie,406563,Insidious: The Last Key,en,"Horror, Thriller",39.1061,6.27,3230,2018
movie,1185806,PAW Patrol: The Dino Movie,en,"Animation, Adventure, Family, Fantasy, Comedy",32.4343,7.192,39,2026
movie,1010581,My Fault,es,"Drama, Romance, Thriller",32.8106,7.7,4172,2023
movie,324786,Hacksaw Ridge,en,"Drama, History, War",33.9606,8.192,15182,2016
movie,280,Terminator 2: Judgment Day,en,"Action, Thriller, Science Fiction",35.5422,8.164,14701,1991
movie,8587,The Lion King,en,"Animation, Family, Drama",35.6733,8.252,20027,1994
movie,1632181,Accidental Partners,es,"Comedy, Romance",22.9914,8.884,362,2026
movie,389,12 Angry Men,en,Drama,31.0451,8.569,10271,1957
movie,1232449,Young Hearts,nl,"Drama, Romance",15.9709,8.6,306,2024
movie,1218925,Chainsaw Man - The Movie: Reze Arc,ja,"Animation, Action, Romance, Fantasy",33.4956,8.533,1135,2025
movie,19404,Dilwale Dulhania Le Jayenge,hi,"Comedy, Drama, Romance",12.8694,8.5,4614,1995
movie,372058,Your Name.,ja,"Animation, Romance, Drama",29.0371,8.485,12899,2016
movie,1181678,¿Quieres ser mi hijo?,en,"Comedy, Romance",7.861,8.47,365,2023
movie,429,"The Good, the Bad and the Ugly",it,Western,25.2919,8.466,9872,1966
movie,1383731,Protector,en,"Action, Thriller",16.5425,8.457,526,2026
movie,14537,Harakiri,ja,"Action, Drama, History",10.8804,8.456,1265,1962
movie,346,Seven Samurai,ja,"Action, Drama",17.5192,8.453,4336,1954
movie,769,GoodFellas,en,"Drama, Crime",26.2226,8.451,14661,1990
movie,12477,Grave of the Fireflies,ja,"Animation, Drama, War",0.0193,8.447,6714,1988
movie,1330021,Remarkably Bright Creatures,en,"Drama, Mystery",20.3677,8.433,862,2026
movie,637,Life Is Beautiful,it,"Comedy, Drama",25.5626,8.437,14180,1997
movie,11216,Cinema Paradiso,it,"Drama, Romance",19.173,8.43,4946,1988
movie,598,City of God,pt,"Drama, Crime",20.3879,8.427,8376,2002
movie,40096,A Dog's Will,pt,"Comedy, Drama, Fantasy, Romance",7.197,8.417,1236,2000
movie,539,Psycho,en,"Horror, Thriller, Mystery",20.3539,8.408,11190,1960
movie,667257,Impossible Things,es,"Family, Drama",5.6268,8.406,430,2021
movie,510,One Flew Over the Cuckoo's Nest,en,Drama,19.3996,8.406,11666,1975
movie,620249,The Legend of Hei,zh,"Animation, Fantasy, Action",12.7533,8.405,537,2019
movie,378064,A Silent Voice: The Movie,ja,"Animation, Drama, Romance",16.6265,8.394,4641,2016
movie,1891,The Empire Strikes Back,en,"Adventure, Action, Science Fiction",21.9599,8.392,18733,1980
movie,4935,Howl's Moving Castle,ja,"Fantasy, Animation, Adventure",28.8188,8.387,11334,2004
movie,255709,Hope,ko,Drama,10.7522,8.386,905,2013
movie,696374,Gabriel's Inferno,en,"Romance, Drama",4.6721,8.382,2479,2020
movie,12493,High and Low,ja,"Drama, Crime, Thriller, Mystery",9.7564,8.376,1182,1963
movie,770156,Lucy Shimmers and the Prince of Peace,en,"Drama, Family",8.8076,8.379,373,2020
movie,244786,Whiplash,en,"Drama, Music, Thriller",32.6329,8.375,16975,2014
movie,311,Once Upon a Time in America,en,"Drama, Crime",23.7447,8.374,6164,1984
movie,423,The Pianist,en,"Drama, War",20.1774,8.37,10364,2002
movie,724089,Gabriel's Inferno: Part II,en,"Romance, Drama",3.2955,8.348,1561,2020
movie,274,The Silence of the Lambs,en,"Crime, Thriller, Drama",8.712,8.344,18359,1991
movie,614945,Voicemails for Isabelle,en,"Romance, Comedy, Drama",26.4766,8.337,814,2026
movie,761053,Gabriel's Inferno: Part III,en,"Romance, Drama",6.5217,8.339,1094,2020
movie,567,Rear Window,en,"Thriller, Mystery, Drama",15.6462,8.337,7311,1954
movie,1058694,Radical,es,Drama,6.4278,8.3,511,2023
movie,73,American History X,en,Drama,17.566,8.326,12815,1998
movie,128,Princess Mononoke,ja,"Adventure, Fantasy, Animation",20.8232,8.321,9208,1997
movie,372754,Dou kyu sei – Classmates,ja,"Romance, Animation",6.7584,8.316,459,2016
movie,3782,Ikiru,ja,Drama,10.5808,8.3,1380,1952
movie,10494,Perfect Blue,ja,"Animation, Thriller",20.1873,8.306,3309,1998
movie,533514,Violet Evergarden: The Movie,ja,"Animation, Drama, Fantasy, Romance",9.9074,8.3,536,2020
movie,207,Dead Poets Society,en,Drama,25.9666,8.296,12869,1989
movie,101,Léon: The Professional,fr,"Crime, Drama, Action",28.6497,8.293,16403,1994
movie,644479,Dedicated to my ex,es,"Drama, Comedy",4.7727,8.285,514,2019
movie,914,The Great Dictator,en,"Comedy, War",11.0617,8.285,3785,1940
movie,3082,Modern Times,en,"Comedy, Drama, Romance",10.5048,8.283,4164,1936
movie,42269,We All Loved Each Other So Much,it,"Drama, Comedy",6.4091,8.282,663,1974
movie,820067,The Quintessential Quintuplets Movie,ja,"Animation, Comedy, Romance",8.8797,8.278,451,2022
movie,654299,Out of the Clear Blue Sky,es,"Comedy, Drama, Music",4.9301,8.278,389,2019
movie,599,Sunset Boulevard,en,Drama,11.5479,8.276,2998,1950
movie,1585,It's a Wonderful Life,en,"Drama, Family, Fantasy",19.8515,8.3,5019,1946
movie,77338,The Intouchables,fr,"Drama, Comedy",27.3266,8.271,18718,2011
movie,335,Once Upon a Time in the West,it,"Drama, Western",18.0326,8.269,5013,1968
movie,28,Apocalypse Now,en,"Drama, War",21.0271,8.261,9294,1979
movie,92321,Hotarubi no Mori e,ja,"Romance, Animation, Fantasy",0.0085,8.259,1239,2011
movie,18491,Neon Genesis Evangelion: The End of Evangelion,ja,"Animation, Science Fiction, Drama, Fantasy, Action",18.7932,8.258,1930,1997
movie,1356039,Counterattack,es,"Action, Adventure, Thriller",12.2844,8.257,839,2025
movie,92060,Michael Jackson's Thriller,en,"Horror, Music, Thriller",8.0238,8.257,794,1983
movie,652837,"Josee, the Tiger and the Fish",ja,"Animation, Drama, Romance",9.3012,8.252,622,2020
movie,975,Paths of Glory,en,"War, Drama",7.1894,8.251,3349,1957
movie,901,City Lights,en,"Comedy, Drama, Romance",8.1522,8.251,2520,1931
movie,1139087,Once Upon a Studio,en,"Animation, Family, Fantasy, Drama, Comedy",9.081,8.254,445,2023
movie,637920,Miracle in Cell No. 7,tr,Drama,7.5727,8.25,4592,2019
movie,29259,Le Trou,fr,"Drama, Thriller, Crime",5.0109,8.246,592,1960
movie,630566,Clouds,en,"Music, Drama",3.9198,8.244,1060,2020
movie,10376,The Legend of 1900,it,"Drama, Music",8.551,8.24,2484,1998
movie,670,Oldboy,ko,"Thriller, Mystery",20.9255,8.236,10121,2003
movie,15804,A Brighter Summer Day,zh,"Crime, Drama, Romance",6.7335,8.234,401,1991
movie,572154,Rascal Does Not Dream of a Dreaming Girl,ja,"Animation, Romance, Drama, Fantasy",4.8356,8.232,611,2019
movie,857,Saving Private Ryan,en,"War, Drama, History",31.3818,8.232,17653,1998
movie,1317149,I Swear,en,"Drama, History",18.5923,8.2,487,2025
movie,504253,I Want to Eat Your Pancreas,ja,"Animation, Drama, Romance",9.1249,8.23,1829,2018
movie,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,ja,"Animation, Action, Fantasy",16.3795,8.227,4642,2020
movie,24188,Il Sorpasso,it,"Drama, Comedy, Adventure",3.3036,8.226,861,1962
movie,632632,Given,ja,"Animation, Drama, Music, Romance",3.5219,8.2,424,2020
movie,490132,Green Book,en,"Drama, Comedy, History",18.6715,8.222,13134,2018
movie,447362,Life in a Year,en,"Drama, Romance",6.0827,8.222,2000,2020
movie,508965,Klaus,en,"Animation, Family, Comedy",8.3595,8.219,4784,2019
movie,16672,Woman in the Dunes,ja,"Drama, Thriller",5.6403,8.2,536,1964
movie,283566,Evangelion: 3.0+1.0 Thrice Upon a Time,ja,"Animation, Action, Science Fiction, Drama",11.2189,8.216,985,2021
movie,110420,Wolf Children,ja,"Animation, Family, Drama, Fantasy",8.1059,8.216,2525,2012
movie,527641,Five Feet Apart,en,"Romance, Drama",9.9924,8.215,5978,2019
movie,315162,Puss in Boots: The Last Wish,en,"Animation, Adventure, Fantasy, Comedy, Family",24.4003,8.215,9153,2022
movie,995133,"The Boy, the Mole, the Fox and the Horse",en,"Animation, Family, Drama, Adventure",25.9257,8.213,760,2022
movie,1124,The Prestige,en,"Drama, Mystery, Science Fiction",27.0589,8.211,17985,2006
movie,37257,Witness for the Prosecution,en,"Drama, Mystery, Crime",9.3709,8.2,1750,1957
movie,9702,Bound by Honor,en,"Crime, Drama, Thriller",10.704,8.206,1598,1993
movie,11,Star Wars,en,"Adventure, Action, Science Fiction",32.5789,8.206,22719,1977
movie,1244492,Look Back,ja,"Animation, Drama",11.5386,8.194,643,2024
movie,50014,The Help,en,Drama,16.2074,8.204,9208,2011
movie,694,The Shining,en,"Horror, Thriller",24.0541,8.201,19256,1980
movie,568332,Taylor Swift: Reputation Stadium Tour,en,Music,2.8132,8.199,437,2018
movie,25237,Come and See,ru,"Drama, War, Horror, History",13.2674,8.198,1923,1985
movie,11324,Shutter Island,en,"Drama, Thriller, Mystery",26.8288,8.197,26289,2010
movie,265177,Mommy,fr,Drama,10.035,8.195,2885,2014
movie,568300,BTS WORLD TOUR [LOVE YOURSELF] in Seoul,ko,Music,2.636,8.2,461,2019
movie,68718,Django Unchained,en,"Drama, Western",28.7168,8.193,28466,2012
movie,618344,Justice League Dark: Apokolips War,en,"Animation, Action, Adventure, Fantasy",6.3963,8.189,1614,2020
movie,537061,Steven Universe: The Movie,en,"Animation, Family, Adventure, Fantasy, Drama, TV Movie",5.8165,8.2,875,2019
movie,26451,Investigation of a Citizen Above Suspicion,it,"Drama, Thriller",3.917,8.19,891,1970
movie,1186532,The Forge,en,"Drama, Family",7.9093,8.2,353,2024
movie,284,The Apartment,en,"Comedy, Drama, Romance",9.5665,8.184,2749,1960
movie,3780,Red Beard,ja,Drama,4.8923,8.182,423,1965
